Wavelength_microns Throughput
2.0004663860000003 1.638981731193968e-10
2.002074478 1.3522694285537895e-10
2.00368257 1.1814754032383982e-10
2.005290662 1.2231871184299065e-10
2.006898754 1.0983078929345718e-10
2.008506846 7.193755952160822e-11
2.010114938 6.077060255301319e-11
2.01172303 7.78296685794695e-11
2.013331122 7.076585231484048e-11
2.014939214 4.095982205270517e-11
2.016547306 3.485287938831082e-11
2.018155398 4.547496613232698e-11
2.01976349 4.085525420826051e-11
2.021371582 2.7218668898839415e-11
2.022979674 2.2475426790039372e-11
2.0245877660000002 2.1405895552877316e-11
2.026195858 2.345067328533124e-11
2.027803949 2.7904840360904476e-11
2.029412041 9.78786035843978e-12
2.031020133 2.795985092274221e-12
2.032628225 4.231639552930637e-12
2.034236317 1.6116684871182343e-11
2.035844409 1.1100807956047618e-12
2.037452501 9.102636606362254e-15
2.039060593 5.073944415301783e-14
2.040668685 5.1990465036948035e-12
2.042276777 4.598567638057339e-12
2.0438848689999998 1.4127960307461173e-12
2.045492961 1.814974570294612e-12
2.047101053 5.272508737494389e-12
2.0487091449999997 1.125695323438353e-11
2.0503172370000002 1.4407333137514218e-11
2.0519253290000004 4.285613789975912e-12
2.053533421 1.379545986628791e-12
2.055141513 2.2360824042164563e-12
2.056749605 1.1247692788273754e-11
2.058357697 1.8620468797599647e-12
2.059965788 2.0521614112749406e-14
2.06157388 4.635535972963398e-14
2.0631819719999998 4.319700484538961e-12
2.064790064 3.0271411832302975e-12
2.066398156 3.786398652675088e-14
2.068006248 3.5926681574815214e-14
2.06961434 2.5199859359071084e-12
2.071222432 2.4401900236663255e-11
2.072830524 2.0669073147775273e-11
2.074438616 4.2853431249175976e-12
2.076046708 9.747601774072104e-14
2.0776548 3.203420928920944e-14
2.079262892 3.023037592324249e-12
2.080870984 3.189683471283329e-11
2.0824790760000003 4.2816983029464263e-13
2.084087168 2.5894096851113603e-14
2.08569526 2.5821638743892267e-12
2.0873033519999997 1.2530004258343288e-10
2.088911444 1.6565786542922588e-12
2.090519536 2.221570297010437e-14
2.092127627 1.4493194032841536e-12
2.0937357189999997 1.0609026459103841e-10
2.0953438110000002 4.63256720402442e-11
2.0969519030000003 1.766908248430312e-11
2.098559995 3.1739173968544825e-12
2.100168087 3.5724981164882244e-12
2.101776179 1.5849049780963876e-11
2.103384271 1.553615681670728e-10
2.104992363 6.766460553397059e-11
2.1066004549999997 1.1637395470168218e-12
2.1082085470000003 7.278669585322262e-13
2.109816639 6.643409488738882e-11
2.111424731 4.960375420925356e-10
2.113032823 6.8562662709511336e-12
2.114640915 3.129095450516775e-13
2.116249007 2.1508875153078072e-11
2.1178570989999996 1.4413530072780877e-09
2.1194651909999997 2.3688472971356055e-11
2.1210732830000003 3.684014830069327e-13
2.122681375 2.662441721958336e-12
2.124289466 9.627783974110514e-11
2.125897558 4.236455783224921e-10
2.1275056500000002 7.030853964863241e-10
2.129113742 1.3453679386595515e-10
2.130721834 2.3404483137402338e-12
2.1323299259999997 6.360197573910919e-13
2.133938018 4.5234196684018106e-11
2.1355461100000004 9.303821227992309e-10
2.137154202 1.2533770147421973e-11
2.138762294 1.7149237657924015e-13
2.140370386 7.938854151150185e-12
2.141978478 5.454203975095662e-10
2.14358657 6.200771032344186e-11
2.1451946619999998 8.976699754216149e-13
2.146802754 1.0460447768077388e-12
2.1484108460000004 4.768281454778712e-11
2.150018938 6.158559953055889e-10
2.15162703 5.903341774937132e-10
2.153235122 4.51245891474314e-10
2.154843214 8.710436031125898e-11
2.156451305 2.2162860245877076e-11
2.158059397 8.604904617345849e-11
2.159667489 6.66789229974324e-10
2.161275581 1.1324607194038953e-10
2.1628836729999996 1.7134648312911214e-12
2.164491765 8.451242993290234e-13
2.1660998570000003 6.043407396142997e-11
2.167707949 1.1088343976755037e-09
2.169316041 1.637429118681324e-11
2.170924133 2.453646603974344e-13
2.172532225 6.311390098577805e-12
2.174140317 3.663434349866809e-10
2.1757484089999997 1.2506200798794973e-09
2.177356501 8.696150218338231e-10
2.1789645930000003 4.808857250608737e-10
2.180572685 2.991647530096756e-10
2.182180777 2.367079824781445e-10
2.183788869 5.23780277977504e-10
2.185396961 1.7377903936882635e-09
2.187005053 1.0865201748636597e-10
2.1886131449999997 1.9486342756092197e-12
2.1902212359999997 2.1704416531955444e-12
2.191829328 1.4775995309163218e-10
2.1934374200000004 1.9759629904872315e-09
2.195045512 3.307360745030446e-11
2.196653604 5.659287527962841e-13
2.198261696 1.2656668224098707e-11
2.199869788 7.34356746254501e-10
2.20147788 1.9542363980646316e-09
2.203085972 1.1010157723654828e-09
2.204694064 8.139814118774819e-10
2.206302156 9.36882779779069e-10
2.207910248 1.0850571295573577e-09
2.2095183400000002 1.7560649540251677e-09
2.211126432 3.728555603770779e-09
2.212734524 1.006713498853469e-09
2.2143426159999997 2.3500690437511853e-11
2.215950708 2.9554215328283444e-12
2.2175588 2.0730535802938689e-10
2.219166892 1.4742327634754573e-08
2.220774984 1.011691765074329e-09
2.222383075 2.0555943101038734e-11
2.2239911670000003 2.0257420557137805e-11
2.225599259 1.267049077118532e-09
2.227207351 3.8066045079186426e-08
2.228815443 5.7466147821253985e-09
2.230423535 1.3981074178166896e-09
2.232031627 2.2819522327355497e-09
2.2336397189999997 8.280928179918273e-09
2.2352478110000003 2.766018209546205e-08
2.236855903 3.571809224450324e-08
2.238463995 4.8157473419948335e-08
2.240072087 8.935044531217602e-09
2.241680179 2.392746332636588e-09
2.243288271 3.1601550999560027e-09
2.2448963629999996 1.8588036231592667e-08
2.2465044549999997 1.0748200256091632e-07
2.2481125470000003 2.1035195156254865e-09
2.249720639 4.2213808267131875e-11
2.251328731 2.0442541208861862e-10
2.252936823 1.3004393555427033e-08
2.2545449140000002 1.1428754335763882e-07
2.256153006 2.3572071941777494e-09
2.257761098 4.950622203427515e-11
2.2593691899999997 4.976732339311346e-10
2.260977282 2.3453737767641514e-08
2.262585374 2.6551714994295773e-07
2.264193466 2.485777218747284e-07
2.265801558 2.39827787775875e-07
2.2674096500000003 1.4498007361722957e-07
2.269017742 1.1759569949542744e-07
2.270625834 1.3768946712692146e-07
2.2722339259999997 2.648670247431925e-07
2.273842018 9.440416169548489e-07
2.2754501100000004 1.206929968752539e-07
2.277058202 2.174446409052317e-08
2.278666294 2.0881921801812395e-08
2.280274386 1.3280492834801871e-07
2.281882478 1.450710409191481e-06
2.28349057 3.1164406874817016e-07
2.285098662 1.1648137264717941e-07
2.286706753 1.1009748577082298e-07
2.288314845 2.899595288617951e-07
2.2899229369999996 1.318814735290019e-06
2.291531029 9.3676485285774e-07
2.2931391210000003 7.35235505953473e-07
2.294747213 6.579126231859916e-07
2.296355305 6.822775199938041e-07
2.297963397 7.116704066661662e-07
2.299571489 1.1014578435808673e-06
2.301179581 1.8586379733822366e-06
2.3027876729999996 7.459023424738422e-07
2.304395765 1.689501744738825e-08
2.3060038570000003 3.9615721481577065e-10
2.307611949 5.942904345849588e-09
2.309220041 3.667577931900675e-07
2.310828133 2.7646405666357496e-06
2.312436225 6.016293559850585e-08
2.314044317 1.351110039009836e-09
2.3156524089999997 7.356725500239994e-09
2.3172605010000003 4.294926640234906e-07
2.318868592 1.4000899781032576e-05
2.3204766840000004 8.633801983699456e-06
2.322084776 5.903889196100541e-06
2.323692868 6.4066086634445944e-06
2.32530096 1.0148688308566287e-05
2.326909052 1.5992182986296334e-05
2.328517144 2.2285933242155047e-05
2.3301252359999998 3.099975522061117e-05
2.331733328 3.065660428712913e-05
2.33334142 1.4332759084508142e-05
2.334949512 6.9818483531609195e-06
2.3365576040000002 1.2419070767158873e-05
2.338165696 3.587259239306189e-05
2.339773788 9.051389464831605e-05
2.3413818799999997 2.162196512315869e-05
2.342989972 6.047080503118016e-06
2.344598064 5.918843734635572e-06
2.346206156 2.2476180186008993e-05
2.347814248 0.00010067816199297235
2.3494223400000003 7.934871193572325e-05
2.3510304310000003 5.465717259591278e-05
2.352638523 4.3974248010892554e-05
2.354246615 6.347546183306823e-05
2.3558547069999998 9.589146916214366e-05
2.357462799 0.00014293477676077587
2.359070891 0.0001629072350559939
2.3606789829999997 0.0001867483304665466
2.3622870750000002 0.00019470583766530684
2.363895167 0.0002002689315233511
2.365503259 0.00021869128554355898
2.367111351 0.0003141654041457205
2.368719443 0.00045231277513503934
2.370327535 0.0005542942249215491
2.371935627 0.0005734546695630806
2.3735437189999997 0.0005905318675008626
2.3751518110000003 0.0007447328226464065
2.376759903 0.0009900488431636716
2.378367995 0.0012983715668912251
2.379976087 0.0014680122329503856
2.381584179 0.0016615195115548278
2.383192271 0.001945007959663262
2.384800362 0.0024165210703044754
2.3864084539999997 0.0030003098842054554
2.388016546 0.0036592408777240317
2.389624638 0.0044096597351521456
2.39123273 0.005312720959065358
2.392840822 0.00642449612086906
2.3944489140000003 0.007774404269704704
2.396057006 0.009404134980227827
2.397665098 0.011348051925748786
2.3992731899999997 0.013690401720511733
2.400881282 0.01635232497205027
2.4024893740000004 0.019235762185440396
2.404097466 0.022622773017824283
2.405705558 0.026438954245486597
2.40731365 0.030779105586900696
2.408921742 0.035824609738980745
2.410529834 0.040972631222395514
2.4121379259999998 0.04670215628049003
2.413746018 0.05321305245977511
2.41535411 0.060407537216939006
2.416962201 0.06856316666213898
2.418570293 0.07775594151782951
2.4201783850000003 0.08799708485941536
2.421786477 0.09966147015058856
2.423394569 0.11287809436071636
2.425002661 0.12793670445734417
2.426610753 0.14498020140939707
2.428218845 0.1639112301370144
2.4298269369999996 0.18504011803961007
2.431435029 0.2088592234284017
2.4330431210000003 0.23300104413221784
2.434651213 0.2591005063500114
2.436259305 0.28808314845570865
2.4378673969999998 0.312795189322651
2.439475489 0.33914693995912054
2.441083581 0.36665616191192163
2.4426916729999997 0.3858640497611518
2.4442997650000002 0.40605208013149
2.4459078570000004 0.42482250773327
2.447515949 0.4357298385107021
2.44912404 0.4468605334519396
2.450732132 0.45525503878977314
2.452340224 0.4591212526957312
2.453948316 0.46301450118296666
2.455556408 0.4654267215836801
2.4571644999999998 0.4661433735920927
2.458772592 0.466859388685885
2.460380684 0.4671518567773868
2.461988776 0.46712849538239487
2.463596868 0.4671044464980309
2.46520496 0.46718917790182374
2.466813052 0.46732853561757576
2.468421144 0.4675707409170544
2.470029236 0.4680202778679679
2.471637328 0.46861376693231854
2.47324542 0.46934775692964353
2.474853512 0.470348834910409
2.4764616040000003 0.4708843958936168
2.478069696 0.4714197096450855
2.479677788 0.472138484843996
2.481285879 0.47244265829439597
2.4828939709999998 0.47276403516256177
2.484502063 0.4732954684785427
2.486110155 0.4738237699384491
2.4877182469999997 0.47447623977136016
2.489326339 0.47484888656154284
2.4909344310000003 0.4754717043369853
2.492542523 0.47609461042774925
2.494150615 0.47665752265575284
2.495758707 0.47721926852001484
2.497366799 0.4777820394375117
2.498974891 0.47816149371886024
2.499778162 0.46862411583281577
2.5011293930000003 0.4689529060474582
2.502480624 0.4691285787170547
2.5038318559999997 0.4692794204888883
2.505183087 0.4693485227538054
2.506534319 0.46931974139301735
2.50788555 0.46921382646913773
2.509236782 0.4689707887259426
2.510588013 0.46865057405212235
2.511939244 0.46827851488526717
2.5132904760000003 0.4678319911517368
2.514641707 0.46731132591673724
2.515992939 0.4667977235891993
2.51734417 0.4662821926095142
2.5186954019999996 0.46577766183534813
2.5200466329999998 0.46529189329132264
2.521397865 0.46490372876189734
2.522749096 0.4645215073686105
2.524100327 0.46417535532913534
2.525451559 0.46408433490156226
2.52680279 0.4639976313230837
2.5281540220000003 0.4640994298702754
2.529505253 0.4642841421715081
2.5308564849999997 0.4645534360290219
2.532207716 0.46489715199690534
2.533558948 0.46561586547042416
2.534910179 0.4664071559465631
2.5362614100000003 0.4669735702824487
2.537612642 0.46822660861967835
2.538963873 0.46924592146496824
2.5403151050000004 0.47033748781704804
2.5416663359999996 0.4712039566207466
2.5430175680000002 0.4719346489048547
2.544368799 0.47324435783134755
2.54572003 0.4744601497730078
2.547071262 0.4751330877843655
2.548422493 0.4759209348355256
2.549773725 0.4768004830791624
2.551124956 0.4771133077979589
2.552476188 0.47729583175507556
2.553827419 0.4780204206690695
2.5551786510000003 0.4783872312657841
2.556529882 0.4782929798684573
2.557881113 0.47809238463751924
2.559232345 0.4774544727292863
2.560583576 0.4757794247386187
2.561934808 0.4746342061309756
2.5632860390000003 0.4739698755044613
2.564637271 0.4731013399456347
