#JD -  2457388 (hr) Flux  Fl_err  Model_fl   Residual for 1.44um (%)
      -2.4139274       1.0088494    0.0030563659      0.00000      0.00000
      -2.3967685       1.0123742    0.0030723459      0.00000      0.00000
      -2.3796119       1.0025190    0.0030260381      0.00000      0.00000
      -2.3624283       1.0141630    0.0030829222      0.00000      0.00000
      -2.3452542      0.99579683    0.0029650980      0.00000      0.00000
      -2.3280954       1.0039679    0.0028913022      0.00000      0.00000
      -2.3108841       1.0063850    0.0029776076      0.00000      0.00000
      -2.2937279       1.0014084    0.0029985517      0.00000      0.00000
      -2.2765756      0.99698781    0.0029254822      0.00000      0.00000
      -2.2594209       1.0103211    0.0031025089      0.00000      0.00000
      -2.2422617       1.0054011    0.0028504105      0.00000      0.00000
      -2.2251076      0.99836523    0.0027695881      0.00000      0.00000
      -2.2079540      0.99770884    0.0027709924      0.00000      0.00000
      -2.1907916      0.99506506    0.0027168852      0.00000      0.00000
      -2.1736349      0.99137446    0.0027290383      0.00000      0.00000
      -2.1564684      0.99263093    0.0027064981      0.00000      0.00000
      -2.1393057      0.99163471    0.0027286986      0.00000      0.00000
      -2.1221514      0.99158698    0.0026964574      0.00000      0.00000
      -2.1049994      0.99110743    0.0026983546      0.00000      0.00000
      -2.0878427       1.0046802    0.0027604974      0.00000      0.00000
      -2.0706809      0.98981959    0.0027108229      0.00000      0.00000
      -2.0535003      0.99176845    0.0026815129      0.00000      0.00000
      -2.0363209       1.0003238    0.0026564165      0.00000      0.00000
      -2.0191896      0.99052338    0.0026852898      0.00000      0.00000
      -2.0020402      0.99618443    0.0028145694      0.00000      0.00000
      -1.9848875       1.0008130    0.0027164687      0.00000      0.00000
      -1.9677348      0.99779137    0.0026983732      0.00000      0.00000
      -1.9505772      0.98973255    0.0026686326      0.00000      0.00000
      -1.9334253      0.99571517    0.0027161921      0.00000      0.00000
      -1.9162731      0.99565798    0.0027861785      0.00000      0.00000
      -1.8991183       1.0048178    0.0027729808      0.00000      0.00000
      -1.8819675      0.99931424    0.0027344575      0.00000      0.00000
      -1.8648166      0.99167574    0.0027720974      0.00000      0.00000
      -1.8476630       1.0066030    0.0027556484      0.00000      0.00000
      -1.8305127       1.0022155    0.0027579071      0.00000      0.00000
      -1.8133558       1.0078988    0.0031236623      0.00000      0.00000
      -1.7961718       1.0005776    0.0027361460      0.00000      0.00000
      -1.7789818      0.99339568    0.0026581035      0.00000      0.00000
      -1.7618224       1.0173546    0.0027538203      0.00000      0.00000
      -1.7446703      0.99847029    0.0026579694      0.00000      0.00000
      -1.7275163      0.99768424    0.0026485196      0.00000      0.00000
      -1.7103350      0.99396705    0.0026066839      0.00000      0.00000
      -1.6931812       1.0023324    0.0026950792      0.00000      0.00000
      -1.6760198       1.0010193    0.0026300366      0.00000      0.00000
      -1.6588624      0.99924749    0.0026733885      0.00000      0.00000
      -1.6417030       1.0065541    0.0027019808      0.00000      0.00000
      -1.6245494      0.99675828    0.0025715109      0.00000      0.00000
      -1.6073352      0.99390498    0.0025951746      0.00000      0.00000
      -1.5901794      0.99377015    0.0025144675      0.00000      0.00000
      -1.5730222      0.99491644    0.0025199843      0.00000      0.00000
      -1.5558700      0.99808514    0.0025732131      0.00000      0.00000
      -1.5387079      0.99706112    0.0025248126      0.00000      0.00000
      -1.5215525      0.98981242    0.0025225718      0.00000      0.00000
      -1.5043944       1.0043965    0.0025601124      0.00000      0.00000
      -1.4872407      0.98573098    0.0025017387      0.00000      0.00000
      -1.4700676       1.0000887    0.0025810784      0.00000      0.00000
      -1.4528847       1.0053404    0.0025044561      0.00000      0.00000
      -1.4357223       1.0027265    0.0025520471      0.00000      0.00000
      -1.4185246       1.0054102    0.0025163425      0.00000      0.00000
      -1.4013444      0.99704508    0.0025099549      0.00000      0.00000
      -1.3841855      0.99738145    0.0025143857      0.00000      0.00000
      -1.3669997      0.99327930    0.0024577213      0.00000      0.00000
      -1.3498463      0.99665599    0.0024228893      0.00000      0.00000
      -1.3326628       1.0030176    0.0025788031      0.00000      0.00000
      -1.3154663      0.99844760    0.0024414497      0.00000      0.00000
      -1.2982878       1.0014433    0.0024615511      0.00000      0.00000
      -1.2811327      0.99618329    0.0024524763      0.00000      0.00000
      -1.2639686      0.98943208    0.0023883717      0.00000      0.00000
