#JD -  2457388 (hr) Flux  Fl_err  Model_fl   Residual for 0.96um (%)
      -2.4139274      0.99025746    0.0036168011      0.00000      0.00000
      -2.3796119      0.99973908    0.0034458673      0.00000      0.00000
      -2.3624283      0.99696801    0.0034893226      0.00000      0.00000
      -2.3452542      0.98555377    0.0034013234      0.00000      0.00000
      -2.3280954      0.99216492    0.0033410310      0.00000      0.00000
      -2.3108841      0.99653179    0.0033940270      0.00000      0.00000
      -2.2937279      0.98167070    0.0034069136      0.00000      0.00000
      -2.2765756      0.98284442    0.0033575692      0.00000      0.00000
      -2.2594209       1.0037904    0.0035446788      0.00000      0.00000
      -2.2422617       1.0011936    0.0033123695      0.00000      0.00000
      -2.2251076      0.98522706    0.0032260540      0.00000      0.00000
      -2.2079540      0.99580098    0.0032620563      0.00000      0.00000
      -2.1907916      0.99941374    0.0031919769      0.00000      0.00000
      -2.1736349      0.99289206    0.0032205059      0.00000      0.00000
      -2.1564684       1.0082092    0.0032403541      0.00000      0.00000
      -2.1393057      0.98824536    0.0032269910      0.00000      0.00000
      -2.1221514      0.99891657    0.0031922081      0.00000      0.00000
      -2.1049994      0.98549894    0.0031277569      0.00000      0.00000
      -2.0878427      0.97724978    0.0031556516      0.00000      0.00000
      -2.0706809      0.99472871    0.0032211762      0.00000      0.00000
      -2.0535003      0.98657774    0.0031802441      0.00000      0.00000
      -2.0363209      0.98986084    0.0031439695      0.00000      0.00000
      -2.0191896      0.99865413    0.0031999028      0.00000      0.00000
      -2.0020402      0.98374542    0.0033064526      0.00000      0.00000
      -1.9848875      0.99247814    0.0032200301      0.00000      0.00000
      -1.9677348      0.99447764    0.0032344638      0.00000      0.00000
      -1.9505772      0.99339583    0.0032166892      0.00000      0.00000
      -1.9334253       1.0116555    0.0032551563      0.00000      0.00000
      -1.9162731       1.0008656    0.0033307689      0.00000      0.00000
      -1.8991183      0.99725962    0.0033057532      0.00000      0.00000
      -1.8819675      0.99692258    0.0033045335      0.00000      0.00000
      -1.8648166       1.0012018    0.0033412102      0.00000      0.00000
      -1.8476630       1.0001874    0.0033567055      0.00000      0.00000
      -1.8305127       1.0032238    0.0033477108      0.00000      0.00000
      -1.8133558       1.0003284    0.0037527069      0.00000      0.00000
      -1.7961718      0.99555219    0.0033035087      0.00000      0.00000
      -1.7789818      0.99608786    0.0032623665      0.00000      0.00000
      -1.7618224       1.0039223    0.0033376717      0.00000      0.00000
      -1.7446703       1.0041834    0.0032576554      0.00000      0.00000
      -1.7275163       1.0009008    0.0032580669      0.00000      0.00000
      -1.7103350       1.0066568    0.0032142122      0.00000      0.00000
      -1.6931812       1.0052856    0.0032855836      0.00000      0.00000
      -1.6760198      0.99431485    0.0032505226      0.00000      0.00000
      -1.6588624       1.0011237    0.0033126628      0.00000      0.00000
      -1.6417030       1.0096919    0.0033954273      0.00000      0.00000
      -1.6245494       1.0081830    0.0032177702      0.00000      0.00000
      -1.6073352       1.0057409    0.0032245639      0.00000      0.00000
      -1.5901794       1.0088266    0.0031755963      0.00000      0.00000
      -1.5730222      0.97297597    0.0031171676      0.00000      0.00000
      -1.5558700       1.0003067    0.0032115125      0.00000      0.00000
      -1.5387079      0.99749267    0.0031519226      0.00000      0.00000
      -1.5215525       1.0044344    0.0031749731      0.00000      0.00000
      -1.5043944       1.0068808    0.0032315479      0.00000      0.00000
      -1.4872407      0.98652328    0.0031524394      0.00000      0.00000
      -1.4700676      0.99968700    0.0032532483      0.00000      0.00000
      -1.4528847      0.97966381    0.0031015607      0.00000      0.00000
      -1.4357223      0.98575637    0.0031779642      0.00000      0.00000
      -1.4185246      0.99756825    0.0031870063      0.00000      0.00000
      -1.4013444       1.0045051    0.0031548777      0.00000      0.00000
      -1.3841855       1.0025492    0.0031794684      0.00000      0.00000
      -1.3669997       1.0003886    0.0031099345      0.00000      0.00000
      -1.3498463      0.98466645    0.0030444482      0.00000      0.00000
      -1.3326628       1.0069007    0.0032684583      0.00000      0.00000
      -1.3154663       1.0019892    0.0031066946      0.00000      0.00000
      -1.2982878       1.0039088    0.0031190817      0.00000      0.00000
      -1.2811327      0.98969686    0.0031060016      0.00000      0.00000
      -1.2639686      0.99595055    0.0030323251      0.00000      0.00000
      -1.2468145       1.0010820    0.0030653407      0.00000      0.00000
      -1.2296646       1.0016113    0.0031492395      0.00000      0.00000
      -1.2125125      0.99919283    0.0030356354      0.00000      0.00000
      -1.1953755       1.0079577    0.0030900978      0.00000      0.00000
      -1.1782241       1.0088053    0.0030988639      0.00000      0.00000
      -1.1610706      0.99992206    0.0030973904      0.00000      0.00000
      -1.1439169      0.98945263    0.0031130507      0.00000      0.00000
      -1.1267321      0.99417200    0.0030574262      0.00000      0.00000
      -1.1095584       1.0010119    0.0031532980      0.00000      0.00000
      -1.0924102      0.99016184    0.0030980642      0.00000      0.00000
      -1.0752579      0.99546558    0.0030854382      0.00000      0.00000
      -1.0580962      0.99436573    0.0031091114      0.00000      0.00000
      -1.0409426      0.99274395    0.0030144937      0.00000      0.00000
      -1.0237881       1.0041923    0.0031207302      0.00000      0.00000
      -1.0066325       1.0012485    0.0030657599      0.00000      0.00000
     -0.98947485      0.99988757    0.0031586448      0.00000      0.00000
     -0.97231195       1.0016994    0.0031228168      0.00000      0.00000
     -0.95515907       1.0002464    0.0031715151      0.00000      0.00000
     -0.93798331      0.98880309    0.0030989655      0.00000      0.00000
     -0.92082277      0.99493270    0.0030768643      0.00000      0.00000
     -0.90363025       1.0172810    0.0031566081      0.00000      0.00000
     -0.88647098       1.0146025    0.0032337228      0.00000      0.00000
     -0.86930338       1.0002432    0.0032124506      0.00000      0.00000
     -0.85214707       1.0225086    0.0032845949      0.00000      0.00000
     -0.83499177       1.0170792    0.0032290171      0.00000      0.00000
     -0.81781283       1.0018453    0.0031736734      0.00000      0.00000
     -0.80065585       1.0020420    0.0031342061      0.00000      0.00000
     -0.78350712       1.0075707    0.0032760437      0.00000      0.00000
     -0.76631989       1.0133696    0.0033298770      0.00000      0.00000
     -0.74916646      0.99753222    0.0030950038      0.00000      0.00000
     -0.71485827      0.99377304    0.0030948030      0.00000      0.00000
     -0.69768679      0.98874228    0.0031326037      0.00000      0.00000
     -0.68053768       1.0081367    0.0031911665      0.00000      0.00000
     -0.66338503       1.0100643    0.0031682392      0.00000      0.00000
     -0.64623282       1.0056112    0.0032265193      0.00000      0.00000
     -0.62907667       1.0070513    0.0032945338      0.00000      0.00000
     -0.61190716       1.0176393    0.0033219076      0.00000      0.00000
     -0.59474967       1.0008285    0.0031484776      0.00000      0.00000
     -0.57759460       1.0010601    0.0031265740      0.00000      0.00000
     -0.56041372       1.0066591    0.0031685008      0.00000      0.00000
     -0.54326313       1.0101774    0.0031659699      0.00000      0.00000
     -0.52607189       1.0044034    0.0031219166      0.00000      0.00000
     -0.50891352      0.99514955    0.0030488180      0.00000      0.00000
     -0.49168405       1.0036080    0.0030894368      0.00000      0.00000
     -0.47451943       1.0065807    0.0032174036      0.00000      0.00000
     -0.45732503       1.0028606    0.0031965650      0.00000      0.00000
     -0.44017357       1.0112683    0.0031280359      0.00000      0.00000
     -0.42301279       1.0103782    0.0031466561      0.00000      0.00000
     -0.40583064      0.99973182    0.0031327133      0.00000      0.00000
     -0.38865100      0.99834014    0.0030769243      0.00000      0.00000
     -0.37149500       1.0061314    0.0031503645      0.00000      0.00000
     -0.35434107       1.0131172    0.0031395955      0.00000      0.00000
     -0.33717167       1.0005835    0.0030703075      0.00000      0.00000
     -0.32001138       1.0065382    0.0030765430      0.00000      0.00000
     -0.30285690      0.99823429    0.0031431573      0.00000      0.00000
     -0.28569942       1.0254155    0.0032389557      0.00000      0.00000
     -0.26853983       1.0087681    0.0031706119      0.00000      0.00000
     -0.25137686       1.0062762    0.0031511429      0.00000      0.00000
     -0.23421697      0.99994340    0.0030904357      0.00000      0.00000
     -0.21703383       1.0097361    0.0030707237      0.00000      0.00000
     -0.19983917      0.99637815    0.0031292857      0.00000      0.00000
     -0.18265923      0.99410667    0.0031133326      0.00000      0.00000
