#JD -  2457388 (hr) Flux  Fl_err  Model_fl   Residual for 1.69um (%)
      -2.4139274      0.99236849    0.0021466067      0.00000      0.00000
      -2.3967685      0.99551163    0.0021748449      0.00000      0.00000
      -2.3796119      0.98764029    0.0021082746      0.00000      0.00000
      -2.3624283      0.99198638    0.0021515602      0.00000      0.00000
      -2.3452542      0.99197629    0.0021167904      0.00000      0.00000
      -2.3280954      0.99859694    0.0020627537      0.00000      0.00000
      -2.3108841      0.99754713    0.0021106467      0.00000      0.00000
      -2.2937279      0.99825229    0.0021873919      0.00000      0.00000
      -2.2765756      0.99991276    0.0021052482      0.00000      0.00000
      -2.2594209      0.99089688    0.0021533458      0.00000      0.00000
      -2.2422617      0.99822781    0.0020323058      0.00000      0.00000
      -2.2251076      0.99641833    0.0019773925      0.00000      0.00000
      -2.2079540      0.99739275    0.0019996698      0.00000      0.00000
      -2.1907916       1.0013271    0.0019750650      0.00000      0.00000
      -2.1564684       1.0001774    0.0019815941      0.00000      0.00000
      -2.1393057       1.0051572    0.0020247903      0.00000      0.00000
      -2.1221514       1.0059622    0.0019983104      0.00000      0.00000
      -2.1049994       1.0029214    0.0019788476      0.00000      0.00000
      -2.0878427      0.99634749    0.0019974048      0.00000      0.00000
      -2.0706809      0.99682582    0.0019851269      0.00000      0.00000
      -2.0535003      0.99588786    0.0019464730      0.00000      0.00000
      -2.0363209       1.0035757    0.0019321456      0.00000      0.00000
      -2.0191896       1.0018071    0.0019772158      0.00000      0.00000
      -2.0020402       1.0039947    0.0020544528      0.00000      0.00000
      -1.9848875       1.0004056    0.0019801278      0.00000      0.00000
      -1.9677348       1.0014267    0.0019885713      0.00000      0.00000
      -1.9505772      0.99831937    0.0019644699      0.00000      0.00000
      -1.9334253       1.0030020    0.0019808778      0.00000      0.00000
      -1.9162731      0.99663877    0.0020354014      0.00000      0.00000
      -1.8991183      0.99753048    0.0020100000      0.00000      0.00000
      -1.8819675      0.99537870    0.0019964867      0.00000      0.00000
      -1.8648166      0.99444225    0.0020056177      0.00000      0.00000
      -1.8476630      0.99138265    0.0019891248      0.00000      0.00000
      -1.8305127      0.98693485    0.0020109003      0.00000      0.00000
      -1.8133558      0.99145380    0.0022421696      0.00000      0.00000
      -1.7961718      0.99436178    0.0019982638      0.00000      0.00000
      -1.7789818       1.0014766    0.0019973505      0.00000      0.00000
      -1.7618224      0.99818866    0.0019831387      0.00000      0.00000
      -1.7446703      0.99553118    0.0019417535      0.00000      0.00000
      -1.7275163      0.99414163    0.0019317545      0.00000      0.00000
      -1.7103350      0.99908084    0.0019213912      0.00000      0.00000
      -1.6931812      0.99798821    0.0019658690      0.00000      0.00000
      -1.6760198      0.99515740    0.0019145479      0.00000      0.00000
      -1.6588624      0.99368062    0.0019456562      0.00000      0.00000
      -1.6417030      0.99180918    0.0019354215      0.00000      0.00000
      -1.6245494       1.0027583    0.0019126182      0.00000      0.00000
      -1.6073352       1.0013737    0.0019148097      0.00000      0.00000
      -1.5901794      0.99999304    0.0018761977      0.00000      0.00000
      -1.5730222      0.99573467    0.0018715427      0.00000      0.00000
      -1.5558700      0.99774755    0.0018814212      0.00000      0.00000
      -1.5387079      0.99312296    0.0018430060      0.00000      0.00000
      -1.5215525      0.99743049    0.0018599498      0.00000      0.00000
      -1.5043944      0.99952908    0.0018703468      0.00000      0.00000
      -1.4872407      0.99858838    0.0018739171      0.00000      0.00000
      -1.4700676       1.0000297    0.0019051782      0.00000      0.00000
      -1.4528847       1.0010462    0.0018473498      0.00000      0.00000
      -1.4357223       1.0010000    0.0018711238      0.00000      0.00000
      -1.4185246      0.99749802    0.0018472906      0.00000      0.00000
      -1.4013444       1.0017663    0.0018409900      0.00000      0.00000
      -1.3841855      0.99939291    0.0018623955      0.00000      0.00000
      -1.3669997       1.0044127    0.0018220463      0.00000      0.00000
      -1.3498463      0.99831781    0.0017803170      0.00000      0.00000
      -1.3326628      0.99890692    0.0018851330      0.00000      0.00000
      -1.3154663       1.0079499    0.0018162392      0.00000      0.00000
      -1.2982878       1.0026229    0.0018190795      0.00000      0.00000
      -1.2811327      0.99936144    0.0018128332      0.00000      0.00000
      -1.2639686       1.0053932    0.0017902410      0.00000      0.00000
      -1.2468145       1.0040279    0.0017837294      0.00000      0.00000
      -1.2296646       1.0028714    0.0018294940      0.00000      0.00000
      -1.2125125       1.0019365    0.0017771152      0.00000      0.00000
      -1.1953755       1.0029644    0.0017914756      0.00000      0.00000
      -1.1782241       1.0028889    0.0017929479      0.00000      0.00000
      -1.1610706       1.0037113    0.0017991720      0.00000      0.00000
      -1.1439169       1.0033491    0.0018417444      0.00000      0.00000
      -1.1267321       1.0068084    0.0018350387      0.00000      0.00000
      -1.1095584       1.0007583    0.0018515800      0.00000      0.00000
      -1.0752579       1.0012429    0.0018285215      0.00000      0.00000
      -1.0580962       1.0052950    0.0018481438      0.00000      0.00000
      -1.0409426       1.0088214    0.0018127475      0.00000      0.00000
      -1.0237881       1.0007678    0.0018250362      0.00000      0.00000
      -1.0066325       1.0060150    0.0018099790      0.00000      0.00000
     -0.98947485       1.0031878    0.0018418996      0.00000      0.00000
     -0.97231195       1.0045151    0.0018208280      0.00000      0.00000
     -0.95515907       1.0040712    0.0018428447      0.00000      0.00000
     -0.93798331       1.0027093    0.0018113523      0.00000      0.00000
     -0.92082277       1.0046371    0.0018034358      0.00000      0.00000
     -0.90363025      0.99701162    0.0017840491      0.00000      0.00000
     -0.88647098      0.99490774    0.0018275321      0.00000      0.00000
     -0.86930338       1.0055621    0.0018749639      0.00000      0.00000
     -0.85214707       1.0031261    0.0018680462      0.00000      0.00000
     -0.83499177      0.99998075    0.0018460212      0.00000      0.00000
     -0.81781283       1.0051358    0.0018353450      0.00000      0.00000
     -0.80065585      0.99875382    0.0018057297      0.00000      0.00000
     -0.78350712       1.0045551    0.0018863557      0.00000      0.00000
     -0.76631989      0.99973839    0.0018928032      0.00000      0.00000
     -0.74916646       1.0025023    0.0017965995      0.00000      0.00000
     -0.73201772       1.0061081    0.0018256872      0.00000      0.00000
     -0.71485827       1.0006373    0.0018072053      0.00000      0.00000
     -0.69768679       1.0012854    0.0018254243      0.00000      0.00000
     -0.68053768       1.0054326    0.0018474532      0.00000      0.00000
     -0.66338503      0.99936886    0.0018403854      0.00000      0.00000
     -0.64623282       1.0025956    0.0018704808      0.00000      0.00000
     -0.62907667       1.0001037    0.0019086242      0.00000      0.00000
     -0.61190716      0.99676815    0.0019052920      0.00000      0.00000
     -0.59474967       1.0007159    0.0018358850      0.00000      0.00000
     -0.57759460       1.0035078    0.0018234678      0.00000      0.00000
     -0.56041372       1.0019542    0.0018389636      0.00000      0.00000
     -0.54326313       1.0050959    0.0018541834      0.00000      0.00000
     -0.52607189       1.0038813    0.0018225985      0.00000      0.00000
     -0.50891352       1.0038027    0.0017961866      0.00000      0.00000
     -0.49168405       1.0062199    0.0018151218      0.00000      0.00000
     -0.47451943       1.0036932    0.0018470284      0.00000      0.00000
     -0.45732503       1.0019045    0.0018485940      0.00000      0.00000
     -0.44017357       1.0034350    0.0018202943      0.00000      0.00000
     -0.42301279       1.0038368    0.0018130639      0.00000      0.00000
     -0.40583064       1.0020381    0.0018250255      0.00000      0.00000
     -0.38865100       1.0061169    0.0017920685      0.00000      0.00000
     -0.37149500       1.0057268    0.0018220085      0.00000      0.00000
     -0.35434107       1.0062952    0.0018116067      0.00000      0.00000
     -0.33717167       1.0028519    0.0017828757      0.00000      0.00000
     -0.32001138       1.0066787    0.0017856222      0.00000      0.00000
     -0.30285690       1.0059950    0.0018031770      0.00000      0.00000
     -0.28569942       1.0016533    0.0018369998      0.00000      0.00000
     -0.26853983       1.0044671    0.0018125986      0.00000      0.00000
     -0.25137686       1.0030258    0.0017948648      0.00000      0.00000
     -0.23421697       1.0048977    0.0017845119      0.00000      0.00000
     -0.21703383      0.99940850    0.0017474873      0.00000      0.00000
     -0.19983917       1.0047614    0.0017946741      0.00000      0.00000
     -0.18265923       1.0027294    0.0017866971      0.00000      0.00000
     -0.16550921       1.0087424    0.0017815115      0.00000      0.00000
     -0.14835759       1.0129683    0.0017803999      0.00000      0.00000
     -0.13120325       1.0068233    0.0017614632      0.00000      0.00000
     -0.11404668       1.0036305    0.0017443704      0.00000      0.00000
    -0.096892018       1.0007250    0.0017579553      0.00000      0.00000
    -0.079706144       1.0042509    0.0017986213      0.00000      0.00000
    -0.062549081       1.0066335    0.0017780206      0.00000      0.00000
    -0.045385737      0.99985048    0.0017692649      0.00000      0.00000
    -0.028229568       1.0002607    0.0018242982      0.00000      0.00000
    -0.011077188      0.99740516    0.0018199168      0.00000      0.00000
    0.0060829930       1.0051276    0.0018094902      0.00000      0.00000
     0.023241006       1.0011623    0.0017848159      0.00000      0.00000
     0.040394884      0.99513430    0.0017860573      0.00000      0.00000
     0.057586715      0.99919016    0.0017892601      0.00000      0.00000
     0.074738078      0.99754936    0.0017923490      0.00000      0.00000
     0.091926958      0.99894242    0.0017671470      0.00000      0.00000
      0.10908441       1.0013740    0.0017684434      0.00000      0.00000
      0.12624985      0.99942598    0.0017604628      0.00000      0.00000
      0.14343952      0.99907366    0.0017551822      0.00000      0.00000
      0.16059910       1.0022362    0.0017543469      0.00000      0.00000
      0.17781410       1.0013652    0.0017228026      0.00000      0.00000
      0.19497075      0.99495465    0.0017319399      0.00000      0.00000
      0.21213238       1.0025109    0.0017480005      0.00000      0.00000
      0.22931802      0.99975366    0.0017477682      0.00000      0.00000
      0.24653504       1.0000936    0.0017470754      0.00000      0.00000
      0.26378680       1.0014991    0.0018051647      0.00000      0.00000
      0.28097971      0.99906912    0.0017527972      0.00000      0.00000
      0.29821431      0.99910621    0.0017598903      0.00000      0.00000
      0.31541125      0.99953292    0.0017542167      0.00000      0.00000
      0.33270907       1.0060911    0.0017621053      0.00000      0.00000
      0.35002717      0.99648352    0.0017496764      0.00000      0.00000
      0.36729911       1.0032279    0.0017475593      0.00000      0.00000
      0.38443540      0.99988041    0.0017809460      0.00000      0.00000
      0.40167135       1.0068497    0.0018017169      0.00000      0.00000
      0.41898493       1.0032572    0.0017851286      0.00000      0.00000
      0.43629516       1.0018462    0.0017944364      0.00000      0.00000
      0.45350696      0.99937288    0.0017561428      0.00000      0.00000
      0.47090033      0.99647769    0.0017551113      0.00000      0.00000
      0.48835700      0.99822734    0.0017682868      0.00000      0.00000
      0.50571612      0.99854475    0.0017763815      0.00000      0.00000
      0.52294159       1.0002603    0.0017857527      0.00000      0.00000
      0.54011025      0.99946413    0.0017979284      0.00000      0.00000
      0.55726436       1.0001117    0.0018061147      0.00000      0.00000
      0.57441739      0.99500051    0.0017753504      0.00000      0.00000
      0.59157442      0.99778119    0.0018103049      0.00000      0.00000
      0.60873171      0.99574930    0.0018128610      0.00000      0.00000
      0.62589252      0.99797584    0.0017833270      0.00000      0.00000
      0.64305001       1.0043928    0.0018225973      0.00000      0.00000
      0.66020143       1.0037407    0.0017882785      0.00000      0.00000
      0.67735273       1.0019424    0.0017941567      0.00000      0.00000
      0.69450846       1.0034338    0.0018153388      0.00000      0.00000
      0.71166889      0.99528014    0.0017726150      0.00000      0.00000
      0.72882775      0.99484520    0.0018157524      0.00000      0.00000
      0.74599063      0.99676471    0.0017597810      0.00000      0.00000
      0.76317700      0.99730307    0.0017481928      0.00000      0.00000
      0.78036917       1.0030997    0.0018089688      0.00000      0.00000
      0.79755127      0.99286083    0.0017511418      0.00000      0.00000
      0.81470158      0.99856784    0.0017595708      0.00000      0.00000
      0.83185868       1.0065925    0.0017843460      0.00000      0.00000
      0.84901674       1.0044355    0.0017837255      0.00000      0.00000
      0.86617046      0.99489244    0.0017790628      0.00000      0.00000
      0.88332214      0.99878040    0.0017800253      0.00000      0.00000
      0.90048270       1.0013793    0.0017711701      0.00000      0.00000
      0.91763412      0.99797097    0.0018018937      0.00000      0.00000
      0.93478792      0.99380796    0.0017576861      0.00000      0.00000
      0.95194602      0.98685937    0.0017883117      0.00000      0.00000
      0.96910892       1.0013267    0.0017906400      0.00000      0.00000
      0.98628861      0.99834537    0.0017855527      0.00000      0.00000
       1.0035013      0.99470131    0.0018273197      0.00000      0.00000
       1.0206516      0.99013768    0.0017875857      0.00000      0.00000
       1.0378065      0.99734660    0.0018119323      0.00000      0.00000
       1.0549635       1.0028479    0.0018374480      0.00000      0.00000
       1.0721177      0.99949645    0.0018430972      0.00000      0.00000
       1.0893100      0.99742435    0.0018125908      0.00000      0.00000
       1.1064706      0.99933872    0.0018353005      0.00000      0.00000
       1.1236278      0.99819521    0.0018047586      0.00000      0.00000
       1.1408128      0.99786497    0.0018056236      0.00000      0.00000
       1.1579989      0.99757758    0.0018238911      0.00000      0.00000
       1.1751856      0.99627105    0.0018151219      0.00000      0.00000
       1.1923734      0.99595660    0.0018295750      0.00000      0.00000
       1.2095557      0.99838254    0.0018259677      0.00000      0.00000
       1.2267322       1.0031738    0.0018275030      0.00000      0.00000
       1.2438903      0.99348786    0.0018303557      0.00000      0.00000
       1.2610724      0.99424271    0.0018307103      0.00000      0.00000
       1.2782571       1.0004972    0.0018393928      0.00000      0.00000
       1.2954189      0.99641135    0.0017744288      0.00000      0.00000
       1.3126110      0.99895926    0.0018051410      0.00000      0.00000
       1.3297718      0.99900104    0.0018120114      0.00000      0.00000
       1.3469247       1.0003347    0.0018123065      0.00000      0.00000
       1.3640834       1.0004009    0.0018026275      0.00000      0.00000
       1.3812403      0.99523913    0.0017886643      0.00000      0.00000
       1.3984073      0.99965195    0.0018309183      0.00000      0.00000
       1.4155817      0.99808143    0.0018030490      0.00000      0.00000
       1.4327269       1.0019102    0.0018157529      0.00000      0.00000
       1.4498929       1.0006124    0.0019013625      0.00000      0.00000
       1.4670406      0.99811069    0.0018596158      0.00000      0.00000
       1.4842200      0.99592226    0.0018024615      0.00000      0.00000
       1.5013747      0.99755093    0.0017848120      0.00000      0.00000
       1.5185259      0.99951224    0.0017741284      0.00000      0.00000
       1.5357130      0.99830441    0.0018044632      0.00000      0.00000
       1.5529072       1.0039163    0.0018309863      0.00000      0.00000
       1.5700583      0.99754645    0.0018074567      0.00000      0.00000
       1.5872133      0.99850788    0.0018149504      0.00000      0.00000
       1.6043720      0.99732635    0.0018245581      0.00000      0.00000
       1.6215549       1.0006550    0.0018667624      0.00000      0.00000
       1.6387078      0.99875034    0.0017902180      0.00000      0.00000
       1.6558656       1.0050252    0.0018079939      0.00000      0.00000
       1.6730446      0.99702848    0.0017970219      0.00000      0.00000
       1.6902109       1.0010500    0.0018207993      0.00000      0.00000
       1.7245177       1.0015179    0.0018182111      0.00000      0.00000
       1.7416723      0.99583822    0.0018235076      0.00000      0.00000
       1.7588465       1.0005449    0.0018309966      0.00000      0.00000
       1.7760022      0.99948230    0.0018226172      0.00000      0.00000
       1.7931647      0.99532171    0.0018075913      0.00000      0.00000
       1.8103677       1.0048621    0.0018532124      0.00000      0.00000
       1.8275192      0.99908308    0.0018172474      0.00000      0.00000
       1.8446959       1.0022267    0.0018329376      0.00000      0.00000
       1.8618395       1.0018946    0.0018615984      0.00000      0.00000
       1.8790021       1.0017820    0.0018531691      0.00000      0.00000
       1.8961957       1.0028158    0.0018703122      0.00000      0.00000
       1.9133663       1.0009402    0.0018301334      0.00000      0.00000
       1.9305401      0.99960240    0.0018417302      0.00000      0.00000
       1.9476975       1.0002034    0.0018663684      0.00000      0.00000
       1.9648636      0.99940492    0.0018637609      0.00000      0.00000
       1.9820230      0.99548082    0.0018777756      0.00000      0.00000
       1.9991862       1.0030752    0.0018826839      0.00000      0.00000
       2.0163497      0.99652938    0.0018800355      0.00000      0.00000
       2.0335066      0.99550135    0.0018641301      0.00000      0.00000
       2.0506635      0.99955083    0.0018278634      0.00000      0.00000
       2.0678104      0.99780452    0.0018377863      0.00000      0.00000
       2.0849738      0.99669600    0.0018179269      0.00000      0.00000
       2.1021310      0.99645120    0.0018297022      0.00000      0.00000
       2.1192868       1.0024974    0.0018079898      0.00000      0.00000
       2.1364658      0.99701332    0.0018023709      0.00000      0.00000
       2.1536434       1.0007211    0.0018008463      0.00000      0.00000
       2.1708035      0.99647068    0.0018052610      0.00000      0.00000
       2.1879862       1.0069913    0.0018034946      0.00000      0.00000
       2.2051383       1.0019026    0.0017765481      0.00000      0.00000
       2.2222890      0.99497874    0.0017933685      0.00000      0.00000
       2.2394492       1.0025837    0.0018093826      0.00000      0.00000
