#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.08um (%)
      -4.5079613      0.98903030    0.0021911978      0.00000      0.00000
      -4.4866787      0.97789649    0.0021488596      0.00000      0.00000
      -4.4653956      0.97996600    0.0021704153      0.00000      0.00000
      -4.4441073      0.97871584    0.0021612886      0.00000      0.00000
      -4.4228128      0.98139539    0.0021860643      0.00000      0.00000
      -4.4015156      0.98370335    0.0021388456      0.00000      0.00000
      -4.3802279      0.97946052    0.0021494599      0.00000      0.00000
      -4.3589434      0.98983454    0.0021774980      0.00000      0.00000
      -4.3376587      0.98503212    0.0022014294      0.00000      0.00000
      -4.3163706      0.98577711    0.0021898461      0.00000      0.00000
      -4.2950823      0.97001146    0.0022539490      0.00000      0.00000
      -4.2737971      0.98906402    0.0022798759      0.00000      0.00000
      -4.2525150      0.99397891    0.0022686398      0.00000      0.00000
      -4.2312308      0.98763682    0.0021578141      0.00000      0.00000
      -4.2099406      0.98362133    0.0021589875      0.00000      0.00000
      -4.1886509      0.98798607    0.0021457332      0.00000      0.00000
      -4.1673621      0.98564716    0.0021275099      0.00000      0.00000
      -4.1460789      0.99480450    0.0021138456      0.00000      0.00000
      -4.1247933      0.98723636    0.0021049085      0.00000      0.00000
      -4.1035074      0.99144113    0.0020922213      0.00000      0.00000
      -4.0822223      0.99456316    0.0021154718      0.00000      0.00000
      -4.0609334       1.0000580    0.0021129263      0.00000      0.00000
      -4.0396478      0.99703502    0.0021251045      0.00000      0.00000
      -4.0183600      0.99676842    0.0021100590      0.00000      0.00000
      -3.9970688       1.0010704    0.0021256464      0.00000      0.00000
      -3.9757763      0.99992948    0.0021355862      0.00000      0.00000
      -3.9544877       1.0017668    0.0021348601      0.00000      0.00000
      -3.9332025       1.0034647    0.0021344865      0.00000      0.00000
      -3.9119164       1.0016221    0.0021132047      0.00000      0.00000
      -3.8906290       1.0118111    0.0021747025      0.00000      0.00000
      -3.8693396      0.99773480    0.0021604929      0.00000      0.00000
      -3.8480549       1.0080527    0.0022263072      0.00000      0.00000
      -3.8267708       1.0059906    0.0021533046      0.00000      0.00000
      -3.8054845       1.0095554    0.0021615214      0.00000      0.00000
      -3.7841999       1.0046457    0.0021540761      0.00000      0.00000
      -3.7629137       1.0036870    0.0021381006      0.00000      0.00000
      -3.7416330       1.0076602    0.0021636843      0.00000      0.00000
      -3.7203483       1.0133880    0.0021514665      0.00000      0.00000
      -3.6990596       1.0133751    0.0021810914      0.00000      0.00000
      -3.6777688       1.0098713    0.0021665908      0.00000      0.00000
      -3.6564842       1.0182976    0.0033120028      0.00000      0.00000
      -3.6351994       1.0077748    0.0021488450      0.00000      0.00000
      -3.6139144       1.0112386    0.0021108504      0.00000      0.00000
      -3.5926299       1.0097893    0.0021432857      0.00000      0.00000
      -3.5713435      0.99088751    0.0021219593      0.00000      0.00000
      -3.5500550       1.0122301    0.0022088953      0.00000      0.00000
      -3.5287660       1.0085435    0.0021883020      0.00000      0.00000
      -3.5074870       1.0046743    0.0022046319      0.00000      0.00000
      -3.4862004       1.0021039    0.0021556991      0.00000      0.00000
      -3.4649138       1.0117455    0.0021275935      0.00000      0.00000
      -3.4436293       1.0090775    0.0021737540      0.00000      0.00000
      -3.4223535       1.0047921    0.0021894449      0.00000      0.00000
      -3.4010635       1.0107468    0.0021514882      0.00000      0.00000
      -3.3797848       1.0090215    0.0021496796      0.00000      0.00000
      -3.3584981       1.0095412    0.0021442217      0.00000      0.00000
      -3.3372108       1.0063236    0.0021224706      0.00000      0.00000
      -3.3159238       1.0088096    0.0020955289      0.00000      0.00000
