#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.26um (%)
      -4.5079613      0.99395577    0.0018787633      0.00000      0.00000
      -4.4866787      0.99014266    0.0018590999      0.00000      0.00000
      -4.4653956      0.98530416    0.0018575619      0.00000      0.00000
      -4.4441073      0.98908791    0.0018680623      0.00000      0.00000
      -4.4228128      0.98839266    0.0018609590      0.00000      0.00000
      -4.4015156      0.98826148    0.0018269104      0.00000      0.00000
      -4.3802279      0.99748718    0.0018557203      0.00000      0.00000
      -4.3589434      0.98295985    0.0018427669      0.00000      0.00000
      -4.3376587      0.98100603    0.0018552479      0.00000      0.00000
      -4.3163706      0.98875137    0.0018675754      0.00000      0.00000
      -4.2950823      0.98943806    0.0019144198      0.00000      0.00000
      -4.2737971      0.99661934    0.0019472965      0.00000      0.00000
      -4.2525150      0.99426840    0.0019167653      0.00000      0.00000
      -4.2312308      0.98052434    0.0018269252      0.00000      0.00000
      -4.2099406      0.98802904    0.0018298196      0.00000      0.00000
      -4.1886509      0.98664291    0.0018081029      0.00000      0.00000
      -4.1673621      0.99190584    0.0018090768      0.00000      0.00000
      -4.1460789       1.0003441    0.0017989815      0.00000      0.00000
      -4.1247933      0.99594780    0.0017834843      0.00000      0.00000
      -4.1035074      0.99425346    0.0017904382      0.00000      0.00000
      -4.0822223      0.99919421    0.0018031570      0.00000      0.00000
      -4.0609334       1.0050716    0.0017957033      0.00000      0.00000
      -4.0396478       1.0011923    0.0017926515      0.00000      0.00000
      -4.0183600      0.99994307    0.0018013651      0.00000      0.00000
      -3.9970688       1.0019060    0.0017915780      0.00000      0.00000
      -3.9757763       1.0056380    0.0018139825      0.00000      0.00000
      -3.9544877       1.0072356    0.0017983681      0.00000      0.00000
      -3.9332025       1.0030042    0.0017870042      0.00000      0.00000
      -3.9119164       1.0076977    0.0017886733      0.00000      0.00000
      -3.8906290       1.0043613    0.0018202058      0.00000      0.00000
      -3.8693396       1.0006571    0.0018218817      0.00000      0.00000
      -3.8480549       1.0010735    0.0018570585      0.00000      0.00000
      -3.8267708       1.0006519    0.0018135179      0.00000      0.00000
      -3.8054845       1.0048102    0.0018317704      0.00000      0.00000
      -3.7841999       1.0068964    0.0018081614      0.00000      0.00000
      -3.7629137       1.0025527    0.0018009022      0.00000      0.00000
      -3.7416330       1.0096299    0.0018266257      0.00000      0.00000
      -3.7203483       1.0084117    0.0018166690      0.00000      0.00000
      -3.6990596       1.0107020    0.0018282060      0.00000      0.00000
      -3.6777688       1.0079871    0.0018306592      0.00000      0.00000
      -3.6564842       1.0093275    0.0026682146      0.00000      0.00000
      -3.6351994       1.0065403    0.0018027023      0.00000      0.00000
      -3.6139144       1.0033927    0.0017744015      0.00000      0.00000
      -3.5926299       1.0054282    0.0017870545      0.00000      0.00000
      -3.5713435       1.0037230    0.0017851709      0.00000      0.00000
      -3.5500550       1.0071228    0.0018262966      0.00000      0.00000
      -3.5287660       1.0023999    0.0018141220      0.00000      0.00000
      -3.5074870       1.0095339    0.0018474620      0.00000      0.00000
      -3.4862004       1.0071998    0.0018186039      0.00000      0.00000
      -3.4649138       1.0092822    0.0017940074      0.00000      0.00000
      -3.4436293       1.0053071    0.0018219316      0.00000      0.00000
      -3.4223535      0.99934670    0.0018304153      0.00000      0.00000
      -3.4010635       1.0076330    0.0017931676      0.00000      0.00000
      -3.3797848       1.0082445    0.0017924772      0.00000      0.00000
      -3.3584981       1.0062384    0.0017868633      0.00000      0.00000
      -3.3372108       1.0112484    0.0017654365      0.00000      0.00000
