#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.99um (%)
      -4.5079613       1.0029585    0.0027182742      0.00000      0.00000
      -4.4866787       1.0011980    0.0027090906      0.00000      0.00000
      -4.4653956       1.0026506    0.0026999155      0.00000      0.00000
      -4.4441073       1.0116648    0.0027342043      0.00000      0.00000
      -4.4228128       1.0060013    0.0027174377      0.00000      0.00000
      -4.4015156       1.0032960    0.0026720519      0.00000      0.00000
      -4.3802279       1.0024670    0.0026535097      0.00000      0.00000
      -4.3589434       1.0029137    0.0026858112      0.00000      0.00000
      -4.3376587       1.0079199    0.0027318330      0.00000      0.00000
      -4.3163706       1.0026625    0.0027238520      0.00000      0.00000
      -4.2950823      0.99759739    0.0027642857      0.00000      0.00000
      -4.2737971      0.99979265    0.0028194421      0.00000      0.00000
      -4.2525150       1.0061361    0.0027939139      0.00000      0.00000
      -4.2312308       1.0030347    0.0026575273      0.00000      0.00000
      -4.2099406       1.0041633    0.0026775449      0.00000      0.00000
      -4.1886509       1.0157443    0.0026712383      0.00000      0.00000
      -4.1673621       1.0055640    0.0026227203      0.00000      0.00000
      -4.1460789       1.0034087    0.0025704882      0.00000      0.00000
      -4.1247933       1.0054473    0.0025746483      0.00000      0.00000
      -4.1035074       1.0000909    0.0025628712      0.00000      0.00000
      -4.0822223       1.0005021    0.0025761419      0.00000      0.00000
      -4.0609334       1.0035733    0.0025531037      0.00000      0.00000
      -4.0396478       1.0008871    0.0025721323      0.00000      0.00000
      -4.0183600       1.0034270    0.0025676832      0.00000      0.00000
      -3.9970688       1.0022883    0.0025618062      0.00000      0.00000
      -3.9757763       1.0028305    0.0025839970      0.00000      0.00000
      -3.9544877      0.99537942    0.0025610129      0.00000      0.00000
      -3.9332025      0.99939492    0.0025559770      0.00000      0.00000
      -3.9119164       1.0028870    0.0025379736      0.00000      0.00000
      -3.8906290       1.0069812    0.0025981453      0.00000      0.00000
      -3.8693396      0.99911180    0.0026376157      0.00000      0.00000
      -3.8480549       1.0061645    0.0027201058      0.00000      0.00000
      -3.8267708       1.0087560    0.0026219853      0.00000      0.00000
      -3.8054845       1.0083271    0.0026570827      0.00000      0.00000
      -3.7841999       1.0048501    0.0026191234      0.00000      0.00000
      -3.7629137       1.0202689    0.0026346391      0.00000      0.00000
      -3.7416330       1.0055856    0.0026323695      0.00000      0.00000
      -3.7203483      0.99401070    0.0025746020      0.00000      0.00000
      -3.6990596       1.0043214    0.0025974204      0.00000      0.00000
      -3.6777688       1.0048542    0.0026212906      0.00000      0.00000
      -3.6351994       1.0042161    0.0025941977      0.00000      0.00000
      -3.6139144       1.0056248    0.0025519450      0.00000      0.00000
      -3.5926299       1.0027322    0.0026216129      0.00000      0.00000
