#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.38um (%)
      -4.5079613       1.0142291    0.0048595230      0.00000      0.00000
      -4.4866787       1.0135699    0.0047307543      0.00000      0.00000
      -4.4653956       1.0056887    0.0046829695      0.00000      0.00000
      -4.4441073       1.0168858    0.0046471646      0.00000      0.00000
      -4.4228128       1.0122277    0.0047141613      0.00000      0.00000
      -4.4015156      0.97415498    0.0045568852      0.00000      0.00000
      -4.3802279       1.0090803    0.0045752160      0.00000      0.00000
      -4.3589434       1.0009860    0.0045600828      0.00000      0.00000
      -4.3376587       1.0095272    0.0046544900      0.00000      0.00000
      -4.3163706       1.0008212    0.0046563124      0.00000      0.00000
      -4.2950823       1.0169163    0.0047829460      0.00000      0.00000
      -4.2737971       1.0017043    0.0047473630      0.00000      0.00000
      -4.2525150      0.99243111    0.0046882128      0.00000      0.00000
      -4.2312308      0.98377932    0.0045208104      0.00000      0.00000
      -4.2099406       1.0069304    0.0045046726      0.00000      0.00000
      -4.1886509      0.98520678    0.0043547557      0.00000      0.00000
      -4.1673621       1.0113654    0.0043844588      0.00000      0.00000
      -4.1460789       1.0212538    0.0044025134      0.00000      0.00000
      -4.1247933      0.99550075    0.0043111071      0.00000      0.00000
      -4.1035074       1.0245629    0.0044298403      0.00000      0.00000
      -4.0822223       1.0062364    0.0043343008      0.00000      0.00000
      -4.0609334       1.0089317    0.0042900754      0.00000      0.00000
      -4.0396478       1.0189480    0.0043231101      0.00000      0.00000
      -4.0183600       1.0155300    0.0043217594      0.00000      0.00000
      -3.9970688       1.0188968    0.0043425824      0.00000      0.00000
      -3.9757763       1.0185558    0.0042969837      0.00000      0.00000
      -3.9544877       1.0142465    0.0043606396      0.00000      0.00000
      -3.9332025       1.0105835    0.0042838505      0.00000      0.00000
      -3.9119164       1.0027432    0.0042614366      0.00000      0.00000
      -3.8906290       1.0127512    0.0043353980      0.00000      0.00000
      -3.8693396       1.0191615    0.0043422894      0.00000      0.00000
      -3.8480549       1.0230338    0.0044948213      0.00000      0.00000
      -3.8267708       1.0111193    0.0042964493      0.00000      0.00000
      -3.8054845       1.0087701    0.0043416441      0.00000      0.00000
      -3.7841999       1.0039802    0.0043507996      0.00000      0.00000
      -3.7629137       1.0129094    0.0042495889      0.00000      0.00000
      -3.7416330       1.0284979    0.0043647634      0.00000      0.00000
      -3.7203483       1.0233279    0.0043020747      0.00000      0.00000
      -3.6990596       1.0201885    0.0042915942      0.00000      0.00000
      -3.6777688       1.0123480    0.0042813173      0.00000      0.00000
      -3.6564842       1.0401101    0.0071406899      0.00000      0.00000
      -3.6351994       1.0202765    0.0042759896      0.00000      0.00000
      -3.6139144       1.0122659    0.0042014053      0.00000      0.00000
      -3.5926299       1.0084319    0.0042248739      0.00000      0.00000
      -3.5713435       1.0078912    0.0042484814      0.00000      0.00000
      -3.5500550       1.0103703    0.0043281132      0.00000      0.00000
      -3.5287660       1.0064395    0.0042850576      0.00000      0.00000
      -3.5074870       1.0202940    0.0043725038      0.00000      0.00000
      -3.4862004       1.0120854    0.0042867969      0.00000      0.00000
      -3.4649138       1.0048352    0.0041506034      0.00000      0.00000
      -3.4436293       1.0069562    0.0042265952      0.00000      0.00000
      -3.4223535       1.0157684    0.0042975865      0.00000      0.00000
      -3.4010635       1.0082585    0.0041824010      0.00000      0.00000
      -3.3797848       1.0016018    0.0041283192      0.00000      0.00000
      -3.3584981      0.99952383    0.0041292516      0.00000      0.00000
      -3.3372108       1.0161411    0.0040876646      0.00000      0.00000
      -3.3159238       1.0130242    0.0041310333      0.00000      0.00000
      -3.2946643       1.0033125    0.0041103480      0.00000      0.00000
      -3.2733795       1.0018394    0.0041035885      0.00000      0.00000
      -3.2520884       1.0091211    0.0041033680      0.00000      0.00000
      -3.2307875       1.0064034    0.0041956320      0.00000      0.00000
      -3.2095167       1.0143304    0.0042036276      0.00000      0.00000
      -3.1882283      0.99881151    0.0041446115      0.00000      0.00000
      -3.1669402       1.0071601    0.0041549525      0.00000      0.00000
      -3.1456558       1.0103959    0.0041542965      0.00000      0.00000
      -3.1243688       1.0127706    0.0041349985      0.00000      0.00000
      -3.1030767       1.0040278    0.0041732360      0.00000      0.00000
      -3.0817351       1.0068955    0.0042158375      0.00000      0.00000
      -3.0604299       1.0002760    0.0041202290      0.00000      0.00000
      -3.0391400       1.0109827    0.0041657524      0.00000      0.00000
      -3.0178195       1.0016583    0.0041272131      0.00000      0.00000
      -2.9965365       1.0039385    0.0041013801      0.00000      0.00000
      -2.9752419       1.0056449    0.0040913357      0.00000      0.00000
      -2.9539556       1.0181157    0.0041869416      0.00000      0.00000
      -2.9326723       1.0066353    0.0041245957      0.00000      0.00000
      -2.9113919       1.0095792    0.0041462650      0.00000      0.00000
      -2.8901050       1.0033525    0.0041546844      0.00000      0.00000
      -2.8688100      0.99938529    0.0042060209      0.00000      0.00000
      -2.8475259      0.99284234    0.0041170245      0.00000      0.00000
      -2.8262412       1.0038537    0.0041705453      0.00000      0.00000
      -2.8049542       1.0097790    0.0041704903      0.00000      0.00000
      -2.7836670       1.0271447    0.0041508587      0.00000      0.00000
      -2.7623799       1.0030102    0.0041021693      0.00000      0.00000
      -2.7410997       1.0095387    0.0041668804      0.00000      0.00000
      -2.7198104       1.0019129    0.0042016832      0.00000      0.00000
      -2.6985222      0.99692673    0.0041974946      0.00000      0.00000
      -2.6772096      0.99924793    0.0041483548      0.00000      0.00000
      -2.6559244      0.99586397    0.0040726893      0.00000      0.00000
      -2.6346418       1.0007780    0.0042297038      0.00000      0.00000
      -2.6133788       1.0017209    0.0041973470      0.00000      0.00000
      -2.5920948       1.0040165    0.0042600888      0.00000      0.00000
      -2.5708120       1.0005360    0.0041619212      0.00000      0.00000
      -2.5494897       1.0036866    0.0041399629      0.00000      0.00000
      -2.5282015       1.0075568    0.0041804365      0.00000      0.00000
      -2.5069191       1.0072508    0.0042027080      0.00000      0.00000
      -2.4856354      0.98757990    0.0041193083      0.00000      0.00000
      -2.4643516       1.0079188    0.0041283137      0.00000      0.00000
      -2.4430683       1.0040104    0.0041265173      0.00000      0.00000
      -2.4217818       1.0028087    0.0041510535      0.00000      0.00000
      -2.4004989       1.0060857    0.0040870141      0.00000      0.00000
      -2.3792167       1.0040793    0.0041115313      0.00000      0.00000
      -2.3579327       1.0004497    0.0041701212      0.00000      0.00000
      -2.3366460      0.99307436    0.0040712166      0.00000      0.00000
      -2.3153603       1.0061151    0.0041289055      0.00000      0.00000
      -2.2940740      0.99743524    0.0040743256      0.00000      0.00000
      -2.2727892       1.0071567    0.0041561061      0.00000      0.00000
      -2.2515030       1.0003090    0.0040852679      0.00000      0.00000
      -2.2302154       1.0087291    0.0041166290      0.00000      0.00000
      -2.2089278       1.0003803    0.0040605354      0.00000      0.00000
      -2.1876383       1.0046603    0.0040816931      0.00000      0.00000
      -2.1663489       1.0127378    0.0041223829      0.00000      0.00000
      -2.1450635      0.99407435    0.0041041774      0.00000      0.00000
      -2.1237799       1.0020776    0.0040938517      0.00000      0.00000
      -2.1024884       1.0078201    0.0040879803      0.00000      0.00000
      -2.0811985       1.0168116    0.0041169436      0.00000      0.00000
      -2.0599118      0.98969506    0.0041033354      0.00000      0.00000
      -2.0386263       1.0089283    0.0041820893      0.00000      0.00000
      -2.0173329      0.99721464    0.0041249502      0.00000      0.00000
      -1.9960691       1.0004977    0.0041640245      0.00000      0.00000
      -1.9747869      0.99229807    0.0040755675      0.00000      0.00000
