#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 2.23um (%)
      -4.5079613       1.0040394    0.0019622179      0.00000      0.00000
      -4.4866787      0.99569837    0.0019326686      0.00000      0.00000
      -4.4653956       1.0012055    0.0019390741      0.00000      0.00000
      -4.4441073       1.0007116    0.0019546265      0.00000      0.00000
      -4.4228128      0.99554967    0.0019569689      0.00000      0.00000
      -4.4015156       1.0059150    0.0019435102      0.00000      0.00000
      -4.3802279       1.0019360    0.0019306468      0.00000      0.00000
      -4.3589434       1.0071292    0.0019614960      0.00000      0.00000
      -4.3376587       1.0060084    0.0019798187      0.00000      0.00000
      -4.3163706       1.0042574    0.0019925202      0.00000      0.00000
      -4.2950823       1.0030603    0.0020496846      0.00000      0.00000
      -4.2737971       1.0070499    0.0020845610      0.00000      0.00000
      -4.2525150      0.99685430    0.0020280370      0.00000      0.00000
      -4.2312308      0.99905858    0.0019350782      0.00000      0.00000
      -4.2099406      0.99877214    0.0019481695      0.00000      0.00000
      -4.1886509      0.99429459    0.0019158156      0.00000      0.00000
      -4.1673621      0.99837401    0.0019117080      0.00000      0.00000
      -4.1460789      0.99658928    0.0018805448      0.00000      0.00000
      -4.1247933       1.0015318    0.0018921496      0.00000      0.00000
      -4.1035074      0.99880061    0.0018752433      0.00000      0.00000
      -4.0822223       1.0017355    0.0018918216      0.00000      0.00000
      -4.0609334       1.0047978    0.0018816987      0.00000      0.00000
      -4.0396478      0.99926763    0.0018870356      0.00000      0.00000
      -4.0183600      0.99986963    0.0018876419      0.00000      0.00000
      -3.9757763       1.0005401    0.0018907982      0.00000      0.00000
      -3.9544877       1.0043097    0.0018913751      0.00000      0.00000
      -3.9332025       1.0033946    0.0018811904      0.00000      0.00000
      -3.9119164      0.99953763    0.0018742195      0.00000      0.00000
      -3.8906290       1.0021061    0.0019055257      0.00000      0.00000
      -3.8693396       1.0008255    0.0019213838      0.00000      0.00000
      -3.8480549       1.0022726    0.0019705385      0.00000      0.00000
      -3.8267708      0.99991553    0.0018953457      0.00000      0.00000
      -3.8054845      0.99997002    0.0019128093      0.00000      0.00000
      -3.7841999       1.0010995    0.0019211805      0.00000      0.00000
      -3.7629137       1.0073595    0.0018988315      0.00000      0.00000
      -3.7416330       1.0031325    0.0019109518      0.00000      0.00000
      -3.7203483       1.0074791    0.0019235402      0.00000      0.00000
      -3.6990596       1.0004212    0.0019141728      0.00000      0.00000
      -3.6777688      0.99927307    0.0019187164      0.00000      0.00000
      -3.6351994       1.0053238    0.0018971424      0.00000      0.00000
      -3.6139144      0.99909100    0.0018726251      0.00000      0.00000
      -3.5926299      0.99972940    0.0019124687      0.00000      0.00000
      -3.5713435      0.99872031    0.0018944592      0.00000      0.00000
      -3.5500550       1.0006876    0.0019381047      0.00000      0.00000
      -3.5287660      0.99923306    0.0019214707      0.00000      0.00000
      -3.5074870       1.0048181    0.0019521824      0.00000      0.00000
      -3.4862004       1.0010684    0.0019117884      0.00000      0.00000
      -3.4649138       1.0019627    0.0018820866      0.00000      0.00000
      -3.4436293      0.99811182    0.0019349790      0.00000      0.00000
      -3.4223535       1.0026490    0.0019317790      0.00000      0.00000
      -3.4010635       1.0003573    0.0018899723      0.00000      0.00000
      -3.3797848       1.0009534    0.0018976851      0.00000      0.00000
      -3.3584981      0.99921224    0.0018752528      0.00000      0.00000
      -3.3372108       1.0010392    0.0018436091      0.00000      0.00000
      -3.3159238       1.0022351    0.0018473532      0.00000      0.00000
      -3.2946643       1.0009736    0.0018694713      0.00000      0.00000
      -3.2733795       1.0088876    0.0018929986      0.00000      0.00000
      -3.2520884       1.0078104    0.0018858629      0.00000      0.00000
      -3.2307875       1.0011529    0.0018954685      0.00000      0.00000
      -3.2095167       1.0104519    0.0019118788      0.00000      0.00000
      -3.1882283       1.0085484    0.0019048087      0.00000      0.00000
      -3.1669402       1.0038677    0.0019048223      0.00000      0.00000
      -3.1456558      0.99980379    0.0018856734      0.00000      0.00000
      -3.1243688      0.99550242    0.0018615021      0.00000      0.00000
      -3.1030767      0.99770437    0.0018829241      0.00000      0.00000
      -3.0817351       1.0020029    0.0018873782      0.00000      0.00000
      -3.0604299       1.0065999    0.0018928366      0.00000      0.00000
      -3.0391400       1.0095139    0.0019064482      0.00000      0.00000
      -3.0178195       1.0031792    0.0019035844      0.00000      0.00000
      -2.9965365       1.0009413    0.0018834885      0.00000      0.00000
      -2.9752419       1.0046313    0.0018856984      0.00000      0.00000
      -2.9539556       1.0005147    0.0018786076      0.00000      0.00000
      -2.9326723       1.0010226    0.0018882734      0.00000      0.00000
      -2.9113919       1.0012606    0.0018654246      0.00000      0.00000
      -2.8901050      0.99877812    0.0018750439      0.00000      0.00000
      -2.8688100      0.99918366    0.0018982098      0.00000      0.00000
      -2.8475259      0.99473047    0.0018759083      0.00000      0.00000
      -2.8262412       1.0033284    0.0018974024      0.00000      0.00000
      -2.8049542       1.0030086    0.0018980935      0.00000      0.00000
      -2.7836670       1.0001139    0.0018668998      0.00000      0.00000
      -2.7623799      0.99743066    0.0018830335      0.00000      0.00000
      -2.7410997      0.99614751    0.0018773845      0.00000      0.00000
      -2.7198104      0.99527518    0.0018933829      0.00000      0.00000
      -2.6985222       1.0007245    0.0019245432      0.00000      0.00000
      -2.6772096       1.0024490    0.0018808468      0.00000      0.00000
      -2.6559244       1.0012904    0.0018806535      0.00000      0.00000
      -2.6346418       1.0031994    0.0018777013      0.00000      0.00000
      -2.6133788       1.0007952    0.0019105714      0.00000      0.00000
      -2.5920948       1.0033078    0.0019283057      0.00000      0.00000
      -2.5708120       1.0009846    0.0018988659      0.00000      0.00000
      -2.5494897      0.99754841    0.0018736814      0.00000      0.00000
      -2.5282015       1.0006151    0.0018895599      0.00000      0.00000
      -2.5069191      0.99405799    0.0018853266      0.00000      0.00000
      -2.4856354       1.0018986    0.0018710803      0.00000      0.00000
      -2.4643516      0.98963573    0.0018534199      0.00000      0.00000
      -2.4430683       1.0014822    0.0018713354      0.00000      0.00000
      -2.4217818      0.99459109    0.0018650826      0.00000      0.00000
