#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.02um (%)
      -4.5079613      0.99426699    0.0029098320      0.00000      0.00000
      -4.4866787      0.98468968    0.0028804829      0.00000      0.00000
      -4.4653956      0.98097665    0.0028325304      0.00000      0.00000
      -4.4441073      0.98906517    0.0028799256      0.00000      0.00000
      -4.4228128       1.0018636    0.0029032674      0.00000      0.00000
      -4.4015156      0.98856188    0.0028106142      0.00000      0.00000
      -4.3802279      0.98149010    0.0028153100      0.00000      0.00000
      -4.3589434      0.99564571    0.0028587292      0.00000      0.00000
      -4.3376587      0.99337527    0.0028626409      0.00000      0.00000
      -4.3163706      0.99042298    0.0028970637      0.00000      0.00000
      -4.2950823      0.97742195    0.0029749237      0.00000      0.00000
      -4.2737971      0.99115588    0.0030057604      0.00000      0.00000
      -4.2525150      0.99927683    0.0029903978      0.00000      0.00000
      -4.2312308      0.99417043    0.0028586528      0.00000      0.00000
      -4.2099406      0.98185735    0.0028476438      0.00000      0.00000
      -4.1886509      0.99291713    0.0027965592      0.00000      0.00000
      -4.1673621      0.99361027    0.0027906134      0.00000      0.00000
      -4.1460789      0.99758692    0.0027572063      0.00000      0.00000
      -4.1247933      0.99806588    0.0027515006      0.00000      0.00000
      -4.1035074       1.0035235    0.0027760288      0.00000      0.00000
      -4.0822223       1.0029987    0.0027727364      0.00000      0.00000
      -4.0609334       1.0101900    0.0027678446      0.00000      0.00000
      -4.0396478      0.99757700    0.0027566637      0.00000      0.00000
      -4.0183600       1.0047125    0.0027847680      0.00000      0.00000
      -3.9970688       1.0039348    0.0027579217      0.00000      0.00000
      -3.9757763      0.99763074    0.0027982977      0.00000      0.00000
      -3.9544877       1.0107536    0.0027816330      0.00000      0.00000
      -3.9332025       1.0009034    0.0027537591      0.00000      0.00000
      -3.9119164       1.0012409    0.0027382477      0.00000      0.00000
      -3.8906290       1.0245057    0.0028734559      0.00000      0.00000
      -3.8693396      0.99371416    0.0028245123      0.00000      0.00000
      -3.8480549       1.0200930    0.0029449597      0.00000      0.00000
      -3.8267708       1.0108681    0.0028404805      0.00000      0.00000
      -3.8054845       1.0176093    0.0028623934      0.00000      0.00000
      -3.7841999      0.99976866    0.0028111943      0.00000      0.00000
      -3.7629137       1.0057956    0.0028012504      0.00000      0.00000
      -3.7416330       1.0081206    0.0028126996      0.00000      0.00000
      -3.7203483       1.0083042    0.0028014245      0.00000      0.00000
      -3.6990596       1.0219827    0.0028522791      0.00000      0.00000
      -3.6777688       1.0187240    0.0028559394      0.00000      0.00000
      -3.6564842      0.97371304    0.0045017280      0.00000      0.00000
      -3.6351994       1.0112371    0.0028121219      0.00000      0.00000
      -3.6139144       1.0110510    0.0027590944      0.00000      0.00000
      -3.5926299       1.0114056    0.0027867337      0.00000      0.00000
