   #JD - 2457565 (hr)        Flux             Fl_err    Model_fl    Residual for 0.76um (%)   
       -4.63483881578     1.08567    0.0897080063889         0.0                        0.0   
       -4.61805065721    0.890679    0.0897080063889         0.0                        0.0   
       -4.60126695782     1.13835    0.0897080063889         0.0                        0.0   
       -4.58448361605    0.952612    0.0897080063889         0.0                        0.0   
       -4.56769532338    0.912617    0.0897080063889         0.0                        0.0   
       -4.55090686306    0.975291    0.0897080063889         0.0                        0.0   
       -4.53412039205    0.861482    0.0897080063889         0.0                        0.0   
       -4.51733664796     1.04108    0.0897080063889         0.0                        0.0   
       -4.50055235624     1.14279    0.0897080063889         0.0                        0.0   
       -4.48376395181    0.895363    0.0897080063889         0.0                        0.0   
       -4.46697749197     1.27636    0.0897080063889         0.0                        0.0   
       -4.45019156858     1.04193    0.0897080063889         0.0                        0.0   
       -4.43340850621     1.03978    0.0897080063889         0.0                        0.0   
       -4.41661498323    0.883752    0.0897080063889         0.0                        0.0   
       -4.39983110502    0.926689    0.0897080063889         0.0                        0.0   
       -4.38304235414     0.90594    0.0897080063889         0.0                        0.0   
       -4.36625824124    0.917158    0.0897080063889         0.0                        0.0   
       -4.34946822748      1.0051    0.0897080063889         0.0                        0.0   
        -4.3326844275    0.982247    0.0897080063889         0.0                        0.0   
       -4.31589430198     1.01188    0.0897080063889         0.0                        0.0   
       -4.29910802096     1.17701    0.0897080063889         0.0                        0.0   
       -4.28231826425      1.0034    0.0897080063889         0.0                        0.0   
       -4.26553439721     1.05432    0.0897080063889         0.0                        0.0   
       -4.24874564633     0.97588    0.0897080063889         0.0                        0.0   
       -4.23196151108    0.979409    0.0897080063889         0.0                        0.0   
       -4.21517870575     1.07928    0.0897080063889         0.0                        0.0   
       -4.19838740677    0.980034    0.0897080063889         0.0                        0.0   
       -4.18159197271     1.00886    0.0897080063889         0.0                        0.0   
       -4.16480414942    0.995708    0.0897080063889         0.0                        0.0   
       -4.14801855013       1.049    0.0897080063889         0.0                        0.0   
       -4.13123198971     1.03979    0.0897080063889         0.0                        0.0   
       -4.11444548517    0.964743    0.0897080063889         0.0                        0.0   
       -4.09765513614     1.00286    0.0897080063889         0.0                        0.0   
